Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
,1+2,50,5,2,1,45,Ndertimi I rruges Esat Mekuli,,,,,,,,,,,,,,,,,,"162,734.92",n/a,,,,,Veha&Clirimi,25.05.15,,,"86,866.10",,,,,,,
,1+2,51,5,2,1,45,Ndertimi I rruges  prej rruges  se Mramorit  deri te pylli I ariut,,,,,,,,,,,,,,,,,,"470,703.45",n/a,,,,,Bejta Comerce& Bass com,20.05.15,,,"338,301.19",,,,,,,
,1,52,1,3,6,15,Furnizimi me ushqim dhe pije për fëmijët parashkollor,,,,,,,,,,,,,,,,,,"10,000.00",n/a,,,,,Beni Dona,17.04.15,,,"6,947.50",,,,,,,
,1+2,53,5,2,1,45,Ndertimi I rruges Gallapi - Prishtinë,,,,,,,,,,,,,,,,,,"184,722.34",n/a,,,,,Beni Com,09.06.15,,,"167,222.90",,,,,,,
,1+2,54,2,1,1,85,Dezinsektimi hapësinor i Prishtinës 2015-2017,,,,,,,,,,,,,,,,,,"220,000.00",n/a,,,,,Doctor Exterminator,24.06.15,,,"600,300.00",,,,,,,
,1,56,1,1,1,34,"Furnizimi   me eskavator , me makine  multifunksionale  dhe paisje shtese",,,,,,,,,,,,,,,,,,"270,000.00",n/a,,,,,Agri Bau Lot1 dhe2,07.10.15,,,"226,470.00",,,,,,,
,1,57,2,2,1,60,Transporti i nxensëve dhe arsimatrëve në viset rurale-vijat ekzistuese - I ,,,,,,,,,,,,,,,,,,"70,000.00",n/a,,,,,Hani Trans,01.06.15,,,"6,660.00",,,,,,,
,1,57,2,2,1,60,Transporti i nxensëve dhe arsimatrëve në viset rurale-vijat ekzistuese  - II,,,,,,,,,,,,,,,,,,"70,000.00",n/a,,,,,Musli Ahmeti,01.06.15,,,"8,820.00",,,,,,,
,1,57,2,2,1,60,Transporti i nxensëve dhe arsimatrëve në viset rurale-vijat ekzistuese - III,,,,,,,,,,,,,,,,,,"70,000.00",n/a,,,,,Sherif vitija ,01.06.15,,,"16,740.00",,,,,,,
,1,57,2,2,1,60,Transporti i nxensëve dhe arsimatrëve në viset rurale-vijat ekzistuese - IV ,,,,,,,,,,,,,,,,,,"70,000.00",n/a,,,,,Simolli Tours,30.07.15,,,"21,060.00",,,,,,,
,1,57,2,2,1,60,Transporti i nxensëve dhe arsimatrëve në viset rurale-vijat ekzistuese -  V ,,,,,,,,,,,,,,,,,,"70,000.00",n/a,,,,,Tepmo Trans,30.07.15,,,"4,392.00",,,,,,,
,,57,2,2,1,60,Transporti i nxensëve dhe arsimatrëve në viset rurale-vijat ekzistuese-  VI,,,,,,,,,,,,,,,,,,"70,000.00",n/a,,,,,Besim Brahimi,01.06.15,,,"6,300.00",,,,,,,
,1,58,1,2,1,36,Furn.me uniforma per punetoret e Kom. Te inspeksionit dhe ofiqarise,,,,,,,,,,,,,,,,,,"50,000.00",n/a,,,,,Puntex,15.07.15,,,"43,188.00",,,,,,,
,1,59,5,3,6,45,Drenazhimi dhe hidroizolimi I objektit te stomatologjise,,,,,,,,,,,,,,,,,,"3,000.00",n/a,,,,,Delta Ing,08.05.15,,,"2,506.20",,,,,,,
,1+2,61,5,1,1,45,Ndërtimi i shkollës fillore në lagjen Mati 1,,,,,,,,,,,,,,,,,,"1,400,000.00",n/a,,,,,Albakos&korben,23.07.15,,,"1,458,452.95",,,,,,,
,1+2,62,1,1,1,33,Furni me material shpen.per nevojat e laboratorit dhe rentgenit te QKMF-se - LOTO III-te,,,,,,,,,,,,,,,,,,"240,000.00",n/a,,,,,Atom Med ,04.08.15,,,"75,646.00",,,,,,,
,1,62,1,1,1,33,Furni me material shpen.per nevojat e laboratorit dhe rentgenit te QKMF-se - loto VI-te,,,,,,,,,,,,,,,,,,,n/a,,,,, Agani,04.08.15,,,"27,276.00",,,,,,,
,1+2,63,5,2,1,45,"sanimi  i  kanal. fekale primare dhe sekondare, sanimi dhe  zgjerimi  i disa  rrugëve sekond ",,,,,,,,,,,,,,,,,,"479,787.60",n/a,,,,,ka kontrate,09.06.15,,,"299,716.00",,,,,,,
,1+2,64,1,2,5,15,Furnizmi emergjent i Kuzhinës Qendrore të Institucioneve Parashkollore,,,,,,,,,,,,,,,,,,"45,000.00",n/a,,,,,Bajraktari ,27.04.15,,,"40,375.00",,,,,,,
,1+2,66,5,2,1,45,Ndertimi I rruges  ne fashtin Koliq -- lagjia Peraj,,,,,,,,,,,,,,,,,,"374,136.42",n/a,,,,,Eskavatori,12.06.15,,,"196,936.25",,,,,,,
,1+2,67,5,2,1,45,"Punimi,furnizimi dhe montimi i shtyllave antipark - pjesa e I-re",,,,,,,,,,,,,,,,,,"200,000.00",n/a,,,,,armakos,15.10.15,,,"59,600.00",,,,,,,
,1,67,5,2,1,45,"Punimi,furnizimi dhe montimi i shtyllave antipark - pjesa e II- të",,,,,,,,,,,,,,,,,,,n/a,,,,,ekonivest,11.12.15,,,"119,520.00",,,,,,,
,1,68,1,2,1,50,Furnizimi dhe montimi i rezervoareve në shkolla dhe I.parashkollore,,,,,,,,,,,,,,,,,,"50,000.00",n/a,,,,,Infraplus,19.06.15,,,"48,630.00",,,,,,,
,1+2,69,5,2,1,45,Ndertimi  rruges  Bernice e poshtme - M2,,,,,,,,,,,,,,,,,,"495,134.52",n/a,,,,,Bageri,15.06.15,,,"296,067.72",,,,,,,
